Player,Team,Number,Position,Height,Weight,Last Attended,Country
ChrisRichard,MIN,35,F,205.74,116.119552,Florida,USA
NickRichards,CHA,4,C,213.36,111.13004,Kentucky,Jamaica
ClintRichardson,PHI,4,G,190.5,88.45044,Seattle,USA
JasonRichardson,GSW,23,G,198.12,102.0582,Michigan State,USA
JeremyRichardson,ATL,32,G-F,200.66,88.45044,Delta State,USA
JoshRichardson,SAS,7,G,198.12,90.7184,Tennessee,USA
MalachiRichardson,SAC,22,G,198.12,92.98636,Syracuse,USA
Micheal RayRichardson,NYK,20,G,195.58,85.728888,Montana,USA
NormanRichardson,CHI,31,G,195.58,90.7184,Hofstra,USA
PoohRichardson,LAC,24,G,185.42000000000002,81.64656,UCLA,USA
QuentinRichardson,LAC,55,F,198.12,103.418976,DePaul,USA
MitchRichmond,SAC,2,G,195.58,99.79024,Kansas State,USA
